,name,location_link,site,us_state,type,subtypes,Area,rating
37,China Pavilion,"https://www.google.com/maps/place/China+Pavilion/@32.4253023,-85.6871251,14z/data=!4m8!1m2!2m1!1sChina+Pavilion!3m4!1s0x888c50d39f68231f:0x68fdc99cd8b2d72!8m2!3d32.4253023!4d-85.6871251",http://www.chinapavilional.com/,Alabama,Chinese restaurant,Chinese restaurant,0,3.7
38,Chinatown Restaurant,"https://www.google.com/maps/place/Chinatown+Restaurant/@32.495264999999996,-86.397806,14z/data=!4m8!1m2!2m1!1sChinatown+Restaurant!3m4!1s0x888e9b2ff3fa1517:0x5bf7eec24fcff57b!8m2!3d32.495264999999996!4d-86.397806",http://us.chinesemenu.com/us/millbrook-al-36054/chinatown-restaurant/,Alabama,Chinese restaurant,Chinese restaurant,2,4.4
39,Hot Wok Express,"https://www.google.com/maps/place/Hot+Wok+Express/@33.1475157,-87.5460315,14z/data=!4m8!1m2!2m1!1sHot+Wok+Express!3m4!1s0x88860203d53324f5:0xa51571c79d406da3!8m2!3d33.1475157!4d-87.5460315",http://hot-wok-express-tuscaloosa.poi.place/,Alabama,Chinese restaurant,Chinese restaurant,2,4.4
40,China Sun,"https://www.google.com/maps/place/China+Sun/@34.6597289,-86.5409809,14z/data=!4m8!1m2!2m1!1sChina+Sun!3m4!1s0x886212f5794f11df:0xffb43fc5046d3c1a!8m2!3d34.6597289!4d-86.5409809",https://www.facebook.com/newchinasun/,Alabama,Chinese restaurant,Chinese restaurant,2,4.4
41,China Bob,"https://www.google.com/maps/place/China+Bob/@33.237130199999996,-87.61135329999999,14z/data=!4m8!1m2!2m1!1sChina+Bob!3m4!1s0x88861cacd920581f:0x55065e389b05a957!8m2!3d33.237130199999996!4d-87.61135329999999",https://www.chinabobnorthport.com/,Alabama,Chinese restaurant,Chinese restaurant,2,4.5
42,99 Bao,"https://www.google.com/maps/place/99+Bao/@32.5849938,-85.49069209999999,14z/data=!4m8!1m2!2m1!1s99+Bao!3m4!1s0x888cf3a5beca35c3:0x52e5f7ffbcd65c1b!8m2!3d32.5849938!4d-85.49069209999999",,Alabama,Chinese restaurant,"Chinese restaurant, Snack bar, Steamed bun shop",2,4.4
43,Shangri-La Restaurant,"https://www.google.com/maps/place/Shangri-La+Restaurant/@33.5216012,-86.72741289999999,14z/data=!4m8!1m2!2m1!1sShangri-La+Restaurant!3m4!1s0x8889108e874087d3:0x4a9ac0db0b0772fd!8m2!3d33.5216012!4d-86.72741289999999",http://www.shangrilabirmingham.com/,Alabama,Delivery Chinese restaurant,"Delivery Chinese restaurant, Delivery Restaurant",2,4.2
44,Chongwah Express,"https://www.google.com/maps/place/Chongwah+Express/@33.4660801,-86.9125311,14z/data=!4m8!1m2!2m1!1sChongwah+Express!3m4!1s0x8888e1ea3f9b2d1d:0x72c6e30d21685ec5!8m2!3d33.4660801!4d-86.9125311",,Alabama,Chinese restaurant,Chinese restaurant,2,4.5
45,New China Town,"https://www.google.com/maps/place/New+China+Town/@33.5011788,-86.7968401,14z/data=!4m8!1m2!2m1!1sNew+China+Town!3m4!1s0x88891bc380a46317:0xc5bbf2f825f7d54!8m2!3d33.5011788!4d-86.7968401",https://www.newchinatown.net/,Alabama,Chinese restaurant,"Chinese restaurant, Asian restaurant, Chinese takeaway, Takeout Restaurant, Restaurant",2,4.3
46,Panda Wok,"https://www.google.com/maps/place/Panda+Wok/@32.337078999999996,-86.259177,14z/data=!4m8!1m2!2m1!1sPanda+Wok!3m4!1s0x888e80290023025f:0xb3c263ff7c1419e8!8m2!3d32.337078999999996!4d-86.259177",,Alabama,Chinese restaurant,"Chinese restaurant, Takeout Restaurant",2,3.9
