ZIP_CODE,STATE,RUCA1,RUCA2
2915,RI,1,1
2916,RI,1,1
2917,RI,1,1
2918,RI,1,1
2919,RI,1,1
2920,RI,1,1
2921,RI,1,1
2940,RI,1,1
3031,NH,1,1
3032,NH,2,2
3033,NH,2,2
3034,NH,3,3
3036,NH,2,2
3037,NH,3,3
3038,NH,1,1
3040,NH,3,3
3041,NH,1,1
3042,NH,2,2
3043,NH,10,10
3044,NH,2,2
3045,NH,1,1
3046,NH,3,3
3047,NH,2,2
3048,NH,2,2
3049,NH,2,2
3051,NH,1,1
3052,NH,1,1
3053,NH,1,1
3054,NH,1,1
3055,NH,1,1
3057,NH,2,2
3060,NH,1,1
3061,NH,1,1
3062,NH,1,1
3063,NH,1,1
3064,NH,1,1
3070,NH,3,3
3071,NH,10,10
3073,NH,1,1
3076,NH,1,1
3077,NH,1,1
3079,NH,1,1
3082,NH,2,2
3084,NH,10,10
3086,NH,1,1
3087,NH,1,1
3101,NH,1,1
3102,NH,1,1
3103,NH,1,1
3104,NH,1,1
3105,NH,1,1
3106,NH,1,1
3108,NH,1,1
3109,NH,1,1
3110,NH,1,1
3111,NH,1,1
3215,NH,10,10
3216,NH,10,10
3217,NH,6,6
3218,NH,5,5
3220,NH,5,5
3221,NH,10,10
3222,NH,10,10
3223,NH,10,10
3224,NH,5,5
3225,NH,5,5
3226,NH,6,6
3227,NH,10,10
3229,NH,5,5
3230,NH,10,10
3231,NH,10,10
3233,NH,10,10
3234,NH,5,5
3235,NH,7,7
3237,NH,6,6
3238,NH,10,10
3240,NH,10,10
3241,NH,10,10.2
3242,NH,10,10
3243,NH,10,10
3244,NH,7,7
3245,NH,6,6
3246,NH,4,4
3247,NH,4,4
3249,NH,4,4
3251,NH,10,10
3252,NH,4,4
3253,NH,5,5
3254,NH,10,10
3255,NH,10,10
3256,NH,6,6
3257,NH,10,10
3258,NH,5,5
3259,NH,10,10
3260,NH,10,10
3261,NH,6,6
3262,NH,10,10
3263,NH,6,6
3264,NH,7,7
3266,NH,10,10
3268,NH,10,10
3269,NH,5,5
3272,NH,10,10
3273,NH,10,10
3275,NH,1,1
3276,NH,7,7
3278,NH,5,5
3279,NH,10,10
3280,NH,10,10
3281,NH,3,3
3282,NH,5,5
3284,NH,10,10
3285,NH,10,10
3287,NH,10,10
3289,NH,5,5
3290,NH,3,3
3291,NH,3,3
3293,NH,10,10
3298,NH,5,5
3299,NH,5,5
3301,NH,4,4
3302,NH,4,4
3303,NH,4,4
3304,NH,5,5
3305,NH,4,4
3307,NH,5,5
3431,NH,4,4
3435,NH,4,4
3440,NH,10,10
3441,NH,5,5
3442,NH,10,10
3443,NH,5,5
3444,NH,5,5
3445,NH,5,5
3446,NH,5,5
3447,NH,6,6
3448,NH,5,5
3449,NH,8,8
3450,NH,5,5
3451,NH,8,8
3452,NH,7,7
3455,NH,5,5
3456,NH,5,5
3457,NH,5,5
3458,NH,7,7
3461,NH,10,10
3462,NH,5,5
3464,NH,5,5
3465,NH,5,5
3466,NH,5,5
3467,NH,5,5
3468,NH,7,7
3469,NH,5,5
3470,NH,5,5
3561,NH,7,7
3570,NH,4,4
3574,NH,10,10.3
3575,NH,6,6
3576,NH,10,10
3579,NH,5,5
3580,NH,10,10.3
3581,NH,4,4
3582,NH,10,10
3583,NH,6,6
3584,NH,10,10
3585,NH,10,10
3586,NH,10,10.3
3588,NH,5,5
3589,NH,6,6
3590,NH,10,10
3592,NH,10,10
3593,NH,6,6
3595,NH,6,6
3597,NH,10,10
3598,NH,8,8
3601,NH,8,8
3602,NH,5,5
3603,NH,7,7
3604,NH,7,7
3605,NH,10,10
3607,NH,8,8
3608,NH,7,7
3609,NH,7,7
3740,NH,10,10
3741,NH,5,5
3743,NH,7,7
3745,NH,10,10
3746,NH,10,10
3748,NH,5,5
3749,NH,5,5
3750,NH,5,5
3751,NH,10,10
3752,NH,10,10
3753,NH,10,10
3754,NH,7,7
3755,NH,4,4
3756,NH,4,4
3765,NH,10,10
3766,NH,4,4
3768,NH,10,10.2
3769,NH,10,10.2
3770,NH,10,10
3771,NH,10,10
3773,NH,7,7
3774,NH,10,10
3777,NH,5,5
3779,NH,5,5
3780,NH,10,10
3781,NH,10,10
3782,NH,10,10
3784,NH,4,4
3785,NH,10,10
3801,NH,1,1
3802,NH,1,1
3803,NH,1,1
3804,ME,1,1
3809,NH,6,6
3810,NH,6,6
3811,NH,1,1
3812,NH,10,10
3813,NH,7,7
3814,NH,10,10
3815,NH,2,2
3816,NH,10,10
3817,NH,10,10
3818,NH,7,7
3819,NH,1,1
3820,NH,1,1
3821,NH,1,1
